a;-a</br>[ɑ];<img src="IPA_vowel_chart_2005.png" />;[sound:a1_1.mp3] EOF [sound:a1_2.mp3] EOF [sound:a1_3.mp3] EOF [sound:a1_4.mp3] EOF [sound:a1_5.mp3] EOF [sound:a1_6.mp3] EOF [sound:a1_7.wav] EOF [sound:a.mp3]
ai;-ai</br>[aɪ̯];<img src="IPA_vowel_chart_2005.png" />;[sound:ai1_1.mp3] EOF [sound:ai1_2.mp3] EOF [sound:ai1_3.mp3] EOF [sound:ai1_4.mp3] EOF [sound:ai1_5.mp3] EOF [sound:ai1_6.mp3] EOF [sound:ai1_7.wav] EOF [sound:ai.mp3]
ao;-ao</br>[ɑʊ̯];<img src="IPA_vowel_chart_2005.png" />;[sound:ao1_1.mp3] EOF [sound:ao1_2.mp3] EOF [sound:ao1_3.mp3] EOF [sound:ao1_4.mp3] EOF [sound:ao1_5.mp3] EOF [sound:ao1_6.mp3] EOF [sound:ao1_7.wav] EOF [sound:ao.mp3]
an;-an</br>[an];<img src="IPA_vowel_chart_2005.png" />;[sound:an1_1.mp3] EOF [sound:an1_2.mp3] EOF [sound:an1_3.mp3] EOF [sound:an1_4.mp3] EOF [sound:an1_5.mp3] EOF [sound:an1_6.mp3] EOF [sound:an1_7.wav] EOF [sound:an.mp3]
ang;-ang</br>[ɑŋ];<img src="IPA_vowel_chart_2005.png" />;[sound:ang1_1.mp3] EOF [sound:ang1_2.mp3] EOF [sound:ang1_3.mp3] EOF [sound:ang1_4.mp3] EOF [sound:ang1_5.mp3] EOF [sound:ang1_6.mp3] EOF [sound:ang1_7.wav] EOF [sound:ang.mp3]
e;-e</br>[ɯ̯ʌ];<img src="IPA_vowel_chart_2005.png" />;[sound:e1_1.mp3] EOF [sound:e1_2.mp3] EOF [sound:e1_3.mp3] EOF [sound:e1_4.mp3] EOF [sound:e1_5.mp3] EOF [sound:e1_6.mp3] EOF [sound:e1_7.wav] EOF [sound:e.mp3]
ei;-ei</br>[eɪ̯];<img src="IPA_vowel_chart_2005.png" />;[sound:ei1_1.mp3] EOF [sound:ei1_3.mp3] EOF [sound:ei1_4.mp3] EOF [sound:ei1_5.mp3] EOF [sound:ei1_7.wav] EOF [sound:ei.mp3]
en;-en</br>[ən];<img src="IPA_vowel_chart_2005.png" />;[sound:en1_1.mp3] EOF [sound:en1_2.mp3] EOF [sound:en1_3.mp3] EOF [sound:en1_4.mp3] EOF [sound:en1_5.mp3] EOF [sound:en1_6.mp3] EOF [sound:en1_7.wav] EOF [sound:en.mp3]
eng;-eng</br>[əŋ];<img src="IPA_vowel_chart_2005.png" />;[sound:eng1_1.mp3] EOF [sound:eng1_2.mp3] EOF [sound:eng1_3.mp3] EOF [sound:eng1_4.mp3] EOF [sound:eng1_5.mp3] EOF [sound:eng.mp3]
er;-er</br>[ɑɻ];<img src="IPA_vowel_chart_2005.png" />;[sound:er1_1.mp3] EOF [sound:er1_2.mp3] EOF [sound:er1_3.mp3] EOF [sound:er1_4.mp3] EOF [sound:er1_5.mp3] EOF [sound:er1_7.wav] EOF [sound:er.mp3]
o;-o</br>[ɔ];<img src="IPA_vowel_chart_2005.png" />;[sound:o1_1.mp3] EOF [sound:o1_2.mp3] EOF [sound:o1_3.mp3] EOF [sound:o1_4.mp3] EOF [sound:o1_5.mp3] EOF [sound:o1_6.mp3] EOF [sound:o.mp3]
ou;-ou</br>[ɤʊ̯];<img src="IPA_vowel_chart_2005.png" />;[sound:ou1_1.mp3] EOF [sound:ou1_2.mp3] EOF [sound:ou1_3.mp3] EOF [sound:ou1_4.mp3] EOF [sound:ou1_5.mp3] EOF [sound:ou1_6.mp3] EOF [sound:ou.mp3]
rong;-ong</br>[ʐʊŋ];<img src="IPA_vowel_chart_2005.png" />;[sound:ong1_4.mp3] EOF [sound:ong.mp3] EOF [sound:rong1_1.mp3] EOF [sound:rong1_2.mp3] EOF [sound:rong1_3.mp3] EOF [sound:rong1_5.mp3] EOF [sound:rong1_6.mp3] EOF [sound:rong1_7.wav]
yi;-i</br>[i];<img src="IPA_vowel_chart_2005.png" />;[sound:i.mp3] EOF [sound:yi1_1.mp3] EOF [sound:yi1_2.mp3] EOF [sound:yi1_3.mp3] EOF [sound:yi1_4.mp3] EOF [sound:yi1_6.mp3] EOF [sound:yi1_7.wav]
ya;-ia</br>[i̯ɑ];<img src="IPA_vowel_chart_2005.png" />;[sound:ia.mp3] EOF [sound:ya1_1.mp3] EOF [sound:ya1_2.mp3] EOF [sound:ya1_3.mp3] EOF [sound:ya1_4.mp3] EOF [sound:ya1_5.mp3] EOF [sound:ya1_6.mp3] EOF [sound:ya1_7.wav]
yao;-iao</br>[i̯ɑʊ̯];<img src="IPA_vowel_chart_2005.png" />;[sound:iao.mp3] EOF [sound:yao1_1.mp3] EOF [sound:yao1_2.mp3] EOF [sound:yao1_3.mp3] EOF [sound:yao1_4.mp3] EOF [sound:yao1_5.mp3] EOF [sound:yao1_6.mp3] EOF [sound:yao1_7.wav]
ye;-ie</br>[iɛ];<img src="IPA_vowel_chart_2005.png" />;[sound:ie.mp3] EOF [sound:ye1_1.mp3] EOF [sound:ye1_2.mp3] EOF [sound:ye1_3.mp3] EOF [sound:ye1_4.mp3] EOF [sound:ye1_5.mp3] EOF [sound:ye1_6.mp3] EOF [sound:ye1_7.wav]
you;-iu</br>[i̯ɤʊ̯];<img src="IPA_vowel_chart_2005.png" />;[sound:iou.mp3] EOF [sound:you1_1.mp3] EOF [sound:you1_2.mp3] EOF [sound:you1_3.mp3] EOF [sound:you1_4.mp3] EOF [sound:you1_6.mp3] EOF [sound:you1_7.wav]
yan;-ian</br>[iɛn];<img src="IPA_vowel_chart_2005.png" />;[sound:ian.mp3] EOF [sound:yan1_1.mp3] EOF [sound:yan1_2.mp3] EOF [sound:yan1_3.mp3] EOF [sound:yan1_4.mp3] EOF [sound:yan1_5.mp3] EOF [sound:yan1_6.mp3] EOF [sound:yan1_7.wav]
yang;-iang</br>[i̯ɑŋ];<img src="IPA_vowel_chart_2005.png" />;[sound:iang.mp3] EOF [sound:yang1_1.mp3] EOF [sound:yang1_2.mp3] EOF [sound:yang1_3.mp3] EOF [sound:yang1_4.mp3] EOF [sound:yang1_5.mp3] EOF [sound:yang1_6.mp3] EOF [sound:yang1_7.wav]
yin;-in</br>[in];<img src="IPA_vowel_chart_2005.png" />;[sound:in.mp3] EOF [sound:yin1_1.mp3] EOF [sound:yin1_2.mp3] EOF [sound:yin1_3.mp3] EOF [sound:yin1_4.mp3] EOF [sound:yin1_5.mp3] EOF [sound:yin1_6.mp3] EOF [sound:yin1_7.wav]
ying;-ing</br>[iŋ];<img src="IPA_vowel_chart_2005.png" />;[sound:ing.mp3] EOF [sound:ying1_1.mp3] EOF [sound:ying1_2.mp3] EOF [sound:ying1_4.mp3] EOF [sound:ying1_5.mp3] EOF [sound:ying1_6.mp3] EOF [sound:ying1_7.wav]
yong;-iong</br>[i̯ʊŋ];<img src="IPA_vowel_chart_2005.png" />;[sound:iong.mp3] EOF [sound:yong1_1.mp3] EOF [sound:yong1_2.mp3] EOF [sound:yong1_3.mp3] EOF [sound:yong1_4.mp3] EOF [sound:yong1_5.mp3] EOF [sound:yong1_6.mp3] EOF [sound:yong1_7.wav]
wu;-u</br>[u];<img src="IPA_vowel_chart_2005.png" />;[sound:u.mp3] EOF [sound:wu1_1.mp3] EOF [sound:wu1_2.mp3] EOF [sound:wu1_3.mp3] EOF [sound:wu1_4.mp3] EOF [sound:wu1_5.mp3] EOF [sound:wu1_6.mp3] EOF [sound:wu1_7.wav]
wa;-ua</br>[u̯ɑ];<img src="IPA_vowel_chart_2005.png" />;[sound:ua.mp3] EOF [sound:wa1_1.mp3] EOF [sound:wa1_2.mp3] EOF [sound:wa1_3.mp3] EOF [sound:wa1_4.mp3] EOF [sound:wa1_5.mp3] EOF [sound:wa1_6.mp3] EOF [sound:wa1_7.wav]
wai;-uai</br>[u̯aɪ̯];<img src="IPA_vowel_chart_2005.png" />;[sound:uai.mp3] EOF [sound:wai1_1.mp3] EOF [sound:wai1_2.mp3] EOF [sound:wai1_3.mp3] EOF [sound:wai1_4.mp3] EOF [sound:wai1_5.mp3] EOF [sound:wai1_7.wav]
wei;-ui</br>[u̯eɪ̯];<img src="IPA_vowel_chart_2005.png" />;[sound:uei.mp3] EOF [sound:wei1_1.mp3] EOF [sound:wei1_2.mp3] EOF [sound:wei1_3.mp3] EOF [sound:wei1_4.mp3] EOF [sound:wei1_6.mp3] EOF [sound:wei1_7.wav]
wo;-uo</br>[u̯ɔ];<img src="IPA_vowel_chart_2005.png" />;[sound:uo.mp3] EOF [sound:wo1_1.mp3] EOF [sound:wo1_2.mp3] EOF [sound:wo1_3.mp3] EOF [sound:wo1_4.mp3] EOF [sound:wo1_5.mp3] EOF [sound:wo1_6.mp3] EOF [sound:wo1_7.wav]
wan;-uan</br>[u̯an];<img src="IPA_vowel_chart_2005.png" />;[sound:uan.mp3] EOF [sound:wan1_1.mp3] EOF [sound:wan1_2.mp3] EOF [sound:wan1_3.mp3] EOF [sound:wan1_4.mp3] EOF [sound:wan1_5.mp3] EOF [sound:wan1_6.mp3] EOF [sound:wan1_7.wav]
wang;-uang</br>[u̯ɑŋ];<img src="IPA_vowel_chart_2005.png" />;[sound:uang.mp3] EOF [sound:wang1_1.mp3] EOF [sound:wang1_2.mp3] EOF [sound:wang1_3.mp3] EOF [sound:wang1_4.mp3] EOF [sound:wang1_5.mp3] EOF [sound:wang1_6.mp3] EOF [sound:wang1_7.wav]
wen;-un</br>[u̯ən];<img src="IPA_vowel_chart_2005.png" />;[sound:uen.mp3] EOF [sound:wen1_1.mp3] EOF [sound:wen1_2.mp3] EOF [sound:wen1_3.mp3] EOF [sound:wen1_4.mp3] EOF [sound:wen1_5.mp3] EOF [sound:wen1_6.mp3] EOF [sound:wen1_7.wav]
weng;[u̯əŋ];<img src="IPA_vowel_chart_2005.png" />;[sound:ueng.mp3] EOF [sound:weng1_1.mp3] EOF [sound:weng1_2.mp3] EOF [sound:weng1_3.mp3] EOF [sound:weng1_4.mp3] EOF [sound:weng1_5.mp3] EOF [sound:weng1_6.mp3] EOF [sound:weng1_7.wav]
yu;-ü</br>[y];<img src="IPA_vowel_chart_2005.png" />;[sound:v.mp3] EOF [sound:yu1_1.mp3] EOF [sound:yu1_2.mp3] EOF [sound:yu1_3.mp3] EOF [sound:yu1_4.mp3] EOF [sound:yu1_5.mp3] EOF [sound:yu1_6.mp3] EOF [sound:yu1_7.wav]
yue;-üe</br>[y̯œ];<img src="IPA_vowel_chart_2005.png" />;[sound:ve.mp3] EOF [sound:yue1_1.mp3] EOF [sound:yue1_2.mp3] EOF [sound:yue1_3.mp3] EOF [sound:yue1_4.mp3] EOF [sound:yue1_5.mp3] EOF [sound:yue1_6.mp3] EOF [sound:yue1_7.wav]
yuan;-üan</br>[y̯ɛn];<img src="IPA_vowel_chart_2005.png" />;[sound:van.mp3] EOF [sound:yuan1_1.mp3] EOF [sound:yuan1_2.mp3] EOF [sound:yuan1_3.mp3] EOF [sound:yuan1_4.mp3] EOF [sound:yuan1_5.mp3] EOF [sound:yuan1_6.mp3] EOF [sound:yuan1_7.wav]
yun;-ün</br>[yn];<img src="IPA_vowel_chart_2005.png" />;[sound:un.mp3] EOF [sound:yun1_1.mp3] EOF [sound:yun1_2.mp3] EOF [sound:yun1_3.mp3] EOF [sound:yun1_4.mp3] EOF [sound:yun1_5.mp3] EOF [sound:yun1_6.mp3] EOF [sound:yun1_7.wav]
