bo;[pu̯ɔ];;[sound:b.mp3] EOF [sound:bo1_1.mp3] EOF [sound:bo1_2.mp3] EOF [sound:bo1_3.mp3] EOF [sound:bo1_4.mp3] EOF [sound:bo1_5.mp3] EOF [sound:bo1_6.mp3] EOF [sound:bo1_7.wav]
po;[pʰu̯ɔ];;[sound:p.mp3] EOF [sound:po1_1.mp3] EOF [sound:po1_2.mp3] EOF [sound:po1_3.mp3] EOF [sound:po1_4.mp3] EOF [sound:po1_5.mp3] EOF [sound:po1_6.mp3] EOF [sound:po1_7.wav]
mo;[mu̯ɔ];;[sound:m.mp3] EOF [sound:mo1_1.mp3] EOF [sound:mo1_2.mp3] EOF [sound:mo1_3.mp3] EOF [sound:mo1_4.mp3] EOF [sound:mo1_5.mp3] EOF [sound:mo1_6.mp3] EOF [sound:mo1_7.wav]
fo;[fu̯ɔ];;[sound:f.mp3] EOF [sound:fo1_1.mp3] EOF [sound:fo1_2.mp3] EOF [sound:fo1_3.mp3] EOF [sound:fo1_5.mp3] EOF [sound:fo1_6.mp3] EOF [sound:fo1_7.wav]
duo;[tu̯ɔ];;[sound:d.mp3] EOF [sound:duo1_1.mp3] EOF [sound:duo1_2.mp3] EOF [sound:duo1_3.mp3] EOF [sound:duo1_4.mp3] EOF [sound:duo1_5.mp3] EOF [sound:duo1_6.mp3] EOF [sound:duo1_7.wav]
tuo;[tʰu̯ɔ];;[sound:t.mp3] EOF [sound:tuo1_1.mp3] EOF [sound:tuo1_2.mp3] EOF [sound:tuo1_3.mp3] EOF [sound:tuo1_4.mp3] EOF [sound:tuo1_5.mp3] EOF [sound:tuo1_6.mp3] EOF [sound:tuo1_7.wav]
nuo;[nu̯ɔ];;[sound:n.mp3] EOF [sound:nuo1_1.mp3] EOF [sound:nuo1_2.mp3] EOF [sound:nuo1_3.mp3] EOF [sound:nuo1_5.mp3] EOF [sound:nuo1_6.mp3] EOF [sound:nuo1_7.wav]
luo;[lu̯ɔ];;[sound:l.mp3] EOF [sound:luo1_1.mp3] EOF [sound:luo1_2.mp3] EOF [sound:luo1_3.mp3] EOF [sound:luo1_4.mp3] EOF [sound:luo1_5.mp3] EOF [sound:luo1_6.mp3] EOF [sound:luo1_7.wav]
zi;[tsɯ];<img src="400px-DifficultChineseSpeechSounds.svg.png" />;[sound:zi1_1.mp3] EOF [sound:zi1_2.mp3] EOF [sound:zi1_3.mp3] EOF [sound:zi1_4.mp3] EOF [sound:zi1_5.mp3] EOF [sound:zi1_7.wav] EOF [sound:z.mp3]
ci;[tsʰɯ];<img src="400px-DifficultChineseSpeechSounds.svg.png" />;[sound:ci1_1.mp3] EOF [sound:ci1_2.mp3] EOF [sound:ci1_3.mp3] EOF [sound:ci1_4.mp3] EOF [sound:ci1_5.mp3] EOF [sound:ci1_7.wav] EOF [sound:c.mp3]
si;[sɯ];<img src="400px-DifficultChineseSpeechSounds.svg.png" />;[sound:si1_1.mp3] EOF [sound:si1_2.mp3] EOF [sound:si1_3.mp3] EOF [sound:si1_4.mp3] EOF [sound:si1_5.mp3] EOF [sound:si1_7.wav] EOF [sound:s.mp3]
zhi;[tʂɨ];<img src="400px-DifficultChineseSpeechSounds.svg.png" />;[sound:zhi1_1.mp3] EOF [sound:zhi1_2.mp3] EOF [sound:zhi1_3.mp3] EOF [sound:zhi1_4.mp3] EOF [sound:zhi1_5.mp3] EOF [sound:zhi1_7.wav] EOF [sound:zh.mp3]
chi;[tʂʰɨ];<img src="400px-DifficultChineseSpeechSounds.svg.png" />;[sound:chi1_1.mp3] EOF [sound:chi1_2.mp3] EOF [sound:chi1_3.mp3] EOF [sound:chi1_4.mp3] EOF [sound:chi1_5.mp3] EOF [sound:chi1_7.wav] EOF [sound:ch.mp3]
shi;[ʂɨ];<img src="400px-DifficultChineseSpeechSounds.svg.png" />;[sound:shi1_1.mp3] EOF [sound:shi1_2.mp3] EOF [sound:shi1_3.mp3] EOF [sound:shi1_4.mp3] EOF [sound:shi1_5.mp3] EOF [sound:shi1_7.wav] EOF [sound:sh.mp3]
ri;[ʐɨ];<img src="400px-DifficultChineseSpeechSounds.svg.png" />;[sound:ri1_1.mp3] EOF [sound:ri1_2.mp3] EOF [sound:ri1_3.mp3] EOF [sound:ri1_5.mp3] EOF [sound:r.mp3]
ji;[tɕi];<img src="400px-DifficultChineseSpeechSounds.svg.png" />;[sound:ji1_1.mp3] EOF [sound:ji1_2.mp3] EOF [sound:ji1_3.mp3] EOF [sound:ji1_4.mp3] EOF [sound:ji1_5.mp3] EOF [sound:ji1_6.mp3] EOF [sound:ji1_7.wav] EOF [sound:j.mp3]
qi;[tɕʰi];<img src="400px-DifficultChineseSpeechSounds.svg.png" />;[sound:qi1_1.mp3] EOF [sound:qi1_2.mp3] EOF [sound:qi1_3.mp3] EOF [sound:qi1_4.mp3] EOF [sound:qi1_5.mp3] EOF [sound:qi1_6.mp3] EOF [sound:qi1_7.wav] EOF [sound:q.mp3]
xi;[ɕi];<img src="400px-DifficultChineseSpeechSounds.svg.png" />;[sound:xi1_1.mp3] EOF [sound:xi1_2.mp3] EOF [sound:xi1_3.mp3] EOF [sound:xi1_4.mp3] EOF [sound:xi1_5.mp3] EOF [sound:xi1_6.mp3] EOF [sound:xi1_7.wav] EOF [sound:x.mp3]
guo;[ku̯ɔ];;[sound:g.mp3] EOF [sound:guo1_1.mp3] EOF [sound:guo1_2.mp3] EOF [sound:guo1_3.mp3] EOF [sound:guo1_4.mp3] EOF [sound:guo1_5.mp3] EOF [sound:guo1_6.mp3] EOF [sound:guo1_7.wav]
kuo;[kʰu̯ɔ];;[sound:k.mp3] EOF [sound:kuo1_1.mp3] EOF [sound:kuo1_2.mp3] EOF [sound:kuo1_3.mp3] EOF [sound:kuo1_5.mp3] EOF [sound:kuo1_6.mp3] EOF [sound:kuo1_7.wav]
huo;[xu̯ɔ];;[sound:h.mp3] EOF [sound:huo1_1.mp3] EOF [sound:huo1_2.mp3] EOF [sound:huo1_3.mp3] EOF [sound:huo1_4.mp3] EOF [sound:huo1_5.mp3] EOF [sound:huo1_6.mp3] EOF [sound:huo1_7.wav]
